Row,PSO_Mean,PSO_Std,X_PSO_Mean,X_PSO_Std,DE_Mean,DE_Std
Func01,7.46204580118988e-56,7.9401452517654e-56,7.29039150087516e-53,2.216078524009e-52,3.38478535629935e-19,1.07036311166905e-18
Func02,7333.33409841866,6535.75068062158,5333.33339083416,4360.31482445668,0.0171580522318432,0.0457315311618436
Func03,6516.18267147396,2970.85891295836,15150.9325557951,4712.26370950678,6.38194060382211,8.27618774704438
Func04,0.00443667324589255,0.00475925745358132,0.00268957492789894,0.00239630350720849,14.3734399089535,4.44425990222671
Func05,210.001966454428,110.048309672693,260.000000000455,69.920589877888,4.2712931685327e-22,1.31717692638291e-21
Func06,53056388.9277253,79637823.4604339,42966312.3158278,55521800.5990704,1.13925483057307e-37,3.58497195106039e-37
Func07,2.3,3.02030167735314,1001.6,3161.71613737434,0.2,0.421637021355784
Func08,3576.08610126649,673.428658512572,3544.2201268521,636.44747490157,2246.93047497586,510.125351399734
Func09,9021.58686970263,28454.3962136133,9030.45744020331,28454.0880920193,38.5160539177681,26.9678739638974
Func10,1.34217728,3.40723921077519,1.34217728,4.24433722852956,0.000119816903671431,0.000249001912600526
Func11,18.0518616287214,38.0230580784386,9.03916253030698,28.5231127464226,0.00565940450799203,0.0111222842749496
Func12,3.21443478069762,3.94235837808633,2.9137822914868,4.09464495224344,0.0931304601816892,0.294504373713734
Func13,115.087795778848,28.1869475988735,114.95275195237,17.6110092337279,15.397624018738,5.24809075339381
Func14,100.200000000001,31.133404710839,112.6,25.8035311967611,25.3967024916617,5.70538911356522
Func15,8.24827635813637,3.05438424026799,8.99363309334296,3.29272393065644,0.0638778590860689,0.165378404153598
